Title,Price,Sold,Reviews,Condition,Brand,Type,Features,Power (W),MPN,EAN,Heating Element Format,Model,Colour,Control Type,Custom Bundle,Location,Manufacturer Colour,Modified Item,Width,Size,UPC,Non-Domestic Product,Material,Power Source,Mounting Location,Number of Heat Settings,Area Covered,Power,Control Style,Heating Element Material,Height,Depth,Heating System,Voltage,Color,Assembled Product Dimensions (L x W x H),Power Type,Manufacturer Part Number,Recommended Location,Assembled Product Weight,Manufacturer,ISBN,Timer Control,Item Length,Smart Home Protocol,Item Width,Bundle Listing,Unit Quantity,Unit Type,Bundle Description,Country/Region of Manufacture,Customized,Item Weight,Modification Description,Motorized,Personalized,Cable Length,Year Manufactured,Design,Voltage Supply,Item Depth,Operating Sound Rating,Annual Fuel Utilization Efficiency (AFUE),Air Direction,Number of Cool Speeds,Heating Technology,BTU Heating Rating,Room Coverage Area,Energy Star,Tank Capacity,Energy Efficiency Ratio (EER),Style,Noise Level,Manufacturer Color,OutOfStockControl,Item Height,Prop65_fl,Prop65Warning,Current Rating,Manufacturer Warranty,Connectivity,Product Weight (lb.),Power/Fuel Type,Product Width (in.),Indoor/Outdoor,Amperage (amps),Room Size,Portable Heater Features,Product Depth (in.),Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Product Height (in.),Portable Heater Safety Features,Cord Length (in.),Voltage (volts),Heater Controls,Smart Home Compatibility,Heating Method,Item Dimensions LxWxH,Assembled Height (Inches),Use Location,Current Rating (Amps),Lowe's Exclusive,Energy Saving Setting,Thermostat,Warranty,EC Range,Manufacturer Color/Finish,Anti-Freeze Setting,Remote Control Included,Portable,Timer,Package Quantity,Series Name,CA Residents: Prop 65 Warning(s),Suitable for Safe Rooms,Wattage,Application,Certifications,Clearance,Heating Wattage,Maintained Operational Temperature,Recommended Environment,Remote Control,Compressive strength,Power deviation,Cable length,Product Name,Thickness,Shipping,Heat Output,Country of Origin,Compatible Brand,Voltage / Wattage / Amperage,Poultry Species,Hatching Egg Breed,Built In Thermostat,Clearance to Combustible Materials,Product Color / Weight,Product Dimensions,Programmable Timer,Remote Control / In-Cord Switch,RESTOCK FEE,Heating BTU,Tonnage,Product Width (in),Cord Length (in),Area Heated (Sq Ft),Heat rating (BTU/hour),Pack Size,Product Height (in),Color Family,globalTradeItemNumber (GTIN),Product Weight (lb),Certifications and Listings,Product Depth (in),Power consumption,Product weight,Heater type,Fins width,Package includes,Oil volume,Power supply,Indoor/outdoor,Item model number,Warranty Description,Department,Finish Types,Number of Pieces,Volume,Is Discontinued By Manufacturer,Batteries Required,Import Designation,item_length,item_width,Accessory Type,Use,Price,Seller,Returns,Service,Satisfaction,USA Shipping,Customer service,Shipping Exclusions,Topic,Language,Age Level,Refrigerant,PackQty,Compressor Type,style,Heater Style,Date Made,Dimensions,Features 1,Features 2,Source,2 heat settings,Carry Handle,Mount Location,Product Length (in),Bulb Type,Number of Elements,Energy Rating,manufacturer_part_number,Origin,Certification,Model Number,Insulation,Pattern Name,Battery Capacity,Battery Life,Weight,Length,Number of Batteries,Battery Size,Battery Included,Motor Type,SKU,StoreCategoryID,Output Power,Gift,Hight,UPC/GTIN Code,Mor Electric Heating SKU,Assembly Required,Firmness,Mount Type,Number of Items in Set,Product,Set Includes,Binding,Studio,Publisher,ProductTypeName,ProductGroup,PackageQuantity,NumberOfItems,Label,Model No.,Application/Usage,Area Coverage,Form Factor,Heating Element,Input Current,Input Voltage,Maximum Heat Power,Oscillation,Power Consumption,Product Model,Product Type,Weight (Approximate),Time Control,Room,Contents of the package,Rated power,Direction adjustment,Power cord length,brand name,Heating method,Overall Height,Overall Width,Heating Element Type,Cord Length,Plug Type,UL Listing,Minimum Heat Power,Baseboard Heating Type,Hydronic,Heating Technology Type,Vented,Heating Product Type,Home Decor Style,Price Per Unit UOM,Fuel Type,Count Per Pack,Country of Origin - Textiles,Finish,Is Portable,Count,Age Group,Color Category,Contained Battery Type,Recommended Use,PPU Quantity of Units,Piece Count,"Cleaning, Care & Maintenance",Shape,Maximum Room Size,Power Options
"SEALEY Propane GAS Bottle Mounted Space Warmer Heater,10,250-15,354 Btu/hr LP13",73.21,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Sealey,,,,LP13,5024209328708,Coil,,,,,,,,,,Does not apply,,,Propane,"Baseboard, Wall, Floor",2,,Less Than 10 W,"Rotary Knob, Analog/Mechanical",Brass,,,Boiler,12 V,Silver,,,,,,,,,,,,,,,,,,,,,,,2000,,,,None,Less Than 80%,1-Way,1,Infrared,Less Than 2000 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hylite Ecoheaters 1ft 45W, 2ft 80W, 3ft 135W, 4ft 180W, 5ft 225W, 6ft 270W ",15.1,150 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Hylite Ecoheaters,Tubular Heater,,,,,,Hylite Ecoheaters,White,,,"Greenhouse, Kennel, Shed, Caravan, Garage, Greenhouse",,,,,,,Steel,Electric,"Floor, Wall",1,,,Plug In,,,,Immediate Area,240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comfort Zone CZQTV007 1500W Electric Quartz Infrared Radiant Tower Heater, Black",72.21,362 sold,"[""This a very cost effective space heater to warm any area during a chilly winter, or - as we had during the early part of the Wisconsin spring - a slightly nippy start to spring. It works to warm a bedroom, normal sized living room (unsure of those with an open plan large setting), or a small area of a basement that you are working in. It has three settings, and has tip-over &amp; overheat protection. I like this product an awful lot, and thus I'll give it 4.5 stars. It does NOT have a remote, but I bought a separate one for that purpose. I am taking a half of a star off because EVEN though it does have tip over protection (meaning it shuts off in that case), it is slightly more easy to tip over than I thought it was. So if you have pets, it might NOT be the BEST idea to use it when they are out playing - NOT so much for safety sake, but to prevent your fur baby from getting injured stepping on it."", 'Works very well and set up takes only a few minutes...', ""This will be my last one. The last one I bought. Lasted one heating season.then quit. Everyone I've ever bought.never makes it through 2 heating season.and I've bought several.over the years. I'm done."", 'I am very happy with this portable heater it works awesome and provides heat to my bedroom, it feels confortable now, thanks so muchGreat Product at a nice PriceTotally Recommended', ""I've bought two of these heaters .Two years in a row . I live in Florida the winters aren't that long . The first one tipped over started making a loud rattling noise .Sent it back to manufacter to repair or replace according to warranty. Never heard from them .Second heater just stopped working I don't  know why .How ever when a pinch and finances are limited .I guess it will have to do .Survivor"", 'Has operated as advertised with one exception. The thermostat doesn’t function properly. It may be a problem with this unit only, difficult to say. This is not a deal breaker for me, only do to the way it’s used. ', 'This is a smaller version and much louder than the one I have ""like"" it, however it works ok, just not as elegantly because the fan even on low is VERY loud.. (great for passive aggressive people...) or loud locations anyway...sounds like a muffled vacuum cleaner.. ', 'Solid heat..Twice the cost of what the CZ550 1500w used to be but has increased to be in just a year &amp; only lasts 1 year or more if used daily during the cold season; so will see how long this model lasts with the same use. ', 'Was used, no just open box as stated.  Works fine but has something melted on the top.', 'I like the safety features and it can fit in just about any room and look nice.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,"Tower Heater, Radiant Quartz Heater","Nonslip Base, Portable, COMFORT ZONE CZQTV007BK 1,500-Watt Radiant Quartz Tower Heater, Thermostat, Automatic Shutoff,Nonslip Base, Heater, Oscillation, Automatic Shutoff, Indoor, Quartz, Adjustable Thermostat",,CZQTV007BK,0075877251473,,CZQTV007BK,,,,,,,,,0075877251473,,"Ceramic, Plastic, Metal",Electric,"Under Desk, Desk/Tabletop",2,Large,1500 W,"Rotary Knob, Switch, Touch, Analog/Mechanical",quartz,,,Radiant,12 V,Black,,,,,,,,15 Minutes,23.60 in,Infrared,13.50 in,,,,,,,,,,,,,,,12.5 inches,,,,,,5120,750 to 999 sq ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO SHS80366 Strip Heater,120V,30 In. L",71.33, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",TEMPCO,Flexible Strip Heaters,,,SHS80366,,,SHS80366,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Space Heater 1500W Garage Forced Air Fan Portable Utility Home Shop,74.97, ,"[""I am somewhat disappointed with this heater.  I work in a large open workspace and winter mornings can be uncomfortable with lower temperatures.  I purchased this heater with the impression that it force out a strong powerful heat.  It surely looks the part.  When I plugged it in, I realized that it didn't put out any more forced hot air than the cheap Walmart heaters. When it heats up, it does warm up an area in my house without problem, but rather useless where I work.  Its also not affective in my garage. My garage is not insulated. Again, the purpose of this heater was to have a reliable source of warm air to work in my garage.  It simply does not have the blower power that it looks to have. Its a good space heater for any room, but not  what I needed it for.  I am disappointed. These should be made with a more powerful blower."", ""Pros - quiet operation.Con - gives off about as much heat as a candle.Do not recommend this product for cold applications.If the room was in the 40's (F) or 50's (F) maybe this would work.  I used it in my garage with a starting temp of 34 (F) and the coils never even glowed.  Gave off some heat but could hold me hand directly in front of the unit for an extended period of time.  Also the picture on the box showed the inner coil glowing, which gives you a sense this unit puts out some heat.  That doesn't happen either.  Would maybe use this in a office setting but not in a work shop."", 'I bought this product  because I have a moderate problem with bed bugs and I know heat is supposed to be one of the methods of killing these bugs. I have not tried using it for this purpose yet but I have used it in my bathroom to see if it would help dry wet clothes which worked well and it also helped me to see how well it heated and see if maybe if it could be a possibility for killing the bugs I have a problem with. not sure if it strong enough for this idea but works great for helping dry clothes and heat a small bathroom. I would suggest anyone trying to use it for any of these purposes closely moniter this heater and not leaving it on when leaving their home or for extended lengths of time , but it is a nice little heater and I would recommend it.', ""Purchases this item because I just poker games in my garage and living in Chicago and being in the winter we needed a heater to help out during game time. I put the heater in max mode and not matter what it just wasn't throwing out enough heat.You literally have to be right in front of the heater to feel anything. I wanted something affordable that was not powered by propane however they do say u get what you paid for."", ""I bought two of these for my garage and disregarded the previous reviews i read. The fan barely puts air out. It gets hot, but the fan almost seems like the motor is junk. I'll still use it. I'll just put a box fan behind it so it can actually move heat around."", ""The heater is built well and is safe however its useless in a garage or outdoors. I would recommend it for use in a indoor room or basement environment where it doesn't have to compete with more harsh temperatures. Not exactly what I was hoping for!"", 'This looks good in the pictures, but is a terrible heater. The forced air is a joke. Plus it does not get hot. With the thermostat on high, after 15 minutes, I could still hold my hand about six inches in front of the grill. Very disappointed.', 'I thought I was going to buy this to upgrade the heater I use at work in the shop. I ended up just putting it in my car that I’m working on on the side of my house. It gets to about 80° inside just a car. I don’t expect it would be able to heat the shop. The fan is very weak as well.', 'It is good product for the price, it is slow on heating a large area but keeps it at a good temperature.', 'It came in a timely manner and works great as long as its pointed at you. Give it a little time and it does warm a small space up']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",DuraHeat,"Forced Air/Fan Heater, Electric Portable Heater","Handle, Indoor",,EUH1500,,,EUH1500,,,,,,,,,0013204415006,,"Metal, Steel",Electric,"Garage, Wall",Variable,250 to 499sq ft,1500,Dial,,,,Forced Air,120 V,Multicolor,,,,,,,,24hr.,,,"8 in, 8in.",,,,,,,,,,,,,,,,,,,,,5000-5999 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Portable Ceramic Tower Heater Remote Control 1500-Watt,70.52,Last item available,"['bought it for my aunt for her bathroom. she says it easily covers her room as well.', 'Nice looking and works great ', 'Good living room floor heater.', 'it works grest', 'No complaints']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Tower Heater,"Digital Display, Portable, Timer, Remote Control, Oscillation, Indoor/Outdoor, Electric, Digital, Automatic Shut-Off",,5538,0046013766151,Coil,5538,,,,,,,,,0046013766151,,Ceramic,Electric,Desk/Tabletop,1,100 sq ft or Less,1001-1500 W,"Remote Control, Digital",Brass,,,Boiler,12 V,Gray,,,,,,,,8 hrs,8.5 in,,7.2 in,,,,,,,,,,,,2000,,,11 in,None,Less Than 80%,1-Way,,,Less Than 2000 BTU,,N/A,1 gal or Less (5 L),3 or Less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 5790 Portable Electric 1500W Room Oscillating Ceramic Tower Space Heater,74.99,42 sold,"['Wish I could control the fan speed, is present for the temperature you select', 'Puts out as much heat as the bigger bulkier heaters and a lot quieter. ', ""I'm very satisfied with this product and definitely recommend."", 'Does a great job of taking the chill off.', 'It works and is quiet.', 'It worked like I expected. What more is there?', ""Works great It's quiet, shuts off when up to temperature comes back on when the temperature drops about 8-10 degrees, would highly recommend.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,"Ceramic, Tower Heater","Timer, Indoor",,5790,,Coil,5790,,,No,,,No,7 in,,0046013765079,,Ceramic,Electric,Floor,2,Under 150 sq ft,1500 W,"Remote Control, Push Button, Digital",,23 in,,Convection,120 V,Multicolor,,,,,,,,15 Minutes,7 inches,,7.3 in,,,,No,Unknown,,,No,,,,,,,7.3 in,Quiet,,1-Way,,,,1000 to 1249 sq ft,,,,Modern,Quiet,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API 742G 1000W 120V 60 Hz Steel Bucket Heater,73.43,122 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",API,Bucket Heater,,,,,,API,,,,,,,,,022102074215,,Stainless Steel,,,,,,,,,,,,Gray,,,742G,,,ALLIED,,,19.4,,3.40,,,,,,,2.10,,,,,,,,,,,,,,,,,,,,,,True,3.50,Y,California residents see Prop 65 WARNINGS: Cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*New* Replacement heater for metro kotatsu Stepless adjustment 510W MSU501HK,70.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Metro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACK+DECKER 1500-Watt 22 in. Electric Ceramic Space Heater Remote Control,74.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",BLACK+DECKER,Tower Heater,"Auto Shut-Off, Oscillation, Timer",,456789,,,BHVHC15,,,,,,,,,819813016296,,Ceramic,Electric,"Desk/Tabletop, Floor",2,Medium Room,1001-1500 W,"Digital, Remote Control",,,,Ceramic,120 V,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,,,3000-3999 BTU,,Not Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Pro Forced Air Space Heater Propane 40,000 BTU TESTED NICE SEE",75.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",All Pro,,,,,,,,,,,,,,,,,,,Propane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silentnight 1.5Kw Portable Oil Fill Electric Heater & 24Hr Timer 7 Fin Radiator,72.33,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Silent Night,,,,38140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewAir Radiant Space Heater Automatic Temperature Control Heats 40 sq. ft. 400 W,74.09,30-day returns,"[""A real case of caveat emptor. I obviously didn't lok too hard at the dimensions, as it's absolutely tiny. I grew up with electric oil-filled radiators that ran the length of a room, so find it odd it's so hard to find anything bigger of this shape. The metal seems thin, so I'm  not surprised others have complained of leaks developing. Again, I don't remember the ones I grew up with ever having a problem. It's sitting in a corner unused as I can't think where it's going to be useful. It might air the clothes in my cupboard, but as for heating anything larger, I don't see that happening."", 'It\'s in an important place in my chicken house operating very well.   We\'ll see how it does when temperature here in the American Midwest reaches 18 degrees below zero  I hae it ina small chicken house within an old milkshed that I\'m completing Styrofoam insulation, hopefully before winter sets in.  So far, the all is well with the temp down to 37 degrees a couple nights.   It is supplemented by two steady red heat lights and another thermostatically controlled heater by another manufacturer.  Meantime, pardon the ironic ""sweating an expected hard winter"" situation!   I do highly recommend this space heater and am sure it will work out for any close space.  Beats space heaters with hot elements hands down for safety.', 'Bought this heater in October. Have used it for a month inside a small bedroom (10 x 12 feet). Not an ideal heater for high heat needs. Eg. It helped the temp in the bedroom not drop so low that we wake up cold (was 28degF low this past week), however when set at its max heat setting all night long, the max temp inside room in the morning was 58-59F. So, not adequately warm. Our bedroom door was tightly shut and has only one window that is closed.Pros:Silent. Very light weight, so portable. Cuts off if tipped over even slightly at an angle or when knocked down to floor.Saves money on electricity!!Cons:Not adequate heating. Best heat if you stand right on top of it, between your legs :-)', 'This heater is light and slim.  It can fit in narrow spots however I would not recommend putting it in position that is close to other items.It is very hot and does NOT radiate heat like other oil heaters.  It is hot because the heat is not radiated out away from the heater.It does keep the ""chill"" of the bathroom however the cost of operating it may be higher than other radiator heaters.  I say this because more heat generation requires more electricity.I bought two of these and might put them in the trash because I don\'t know anyone I\'d want to bless with these ill-performing heaters.', ""I was looking for a small space heater for a back room in my house that doesn't benefit from the furnace heat.  The size of this heater is great, and it keeps the room at a nice even temperature. It's nice and compact. The one drawback I have found is the legs that accompany it are plastic, and over time the heat softens them, causing the heater to lean backward or forwards, which in my opinion is unsafe since it could possibly fall over. The effect of the heat on the legs is quite noticeable. The manufacturer should consider making the legs out of a material that is heat resistant."", 'i purchased the newair portable space heater for additional heat in main room.  my first oil filled heater.  it seems to making sounds like a hot water radiator, and the surface of heater is too hot.  will donate it to local charity', 'I have this in my bathroom to help with the cold in the morning.  My bathroom is small and it heats up the room in about 15 minutes.  Hot to the touch once it heats up so keep away from kids and pets to prevent burns.  Lightweight and thin to help minimize how much space it needs once set up.', 'This is exactly what we were looking for.  We use noisy forced-air heaters in the RV to ""take the chill off"".  So far, this unit is great.  It keeps the whole RV about 10-degrees above ambient, with no noise.  It is just 400-watt, so it will never keep up with a 1500W \'blowers\'.It is quite compact.ONE ISSUE.  The surface gets quite hot (~ 150-deg?).  It would not be a hazard to adults (they jump back!), but it would definitely need a shield around children.', ""It's great someonw makes a low wattage electric space heater for small spaces. None of the heaters we looked at went down farther than 600 watts"", 'It didn\'t perform as I was led to believe it would. I wasn\'t looking for something to go under my desk, but rather, a room heater. It\'s a great heater - as long as you\'re within 6"" of it - or closer. I love the thin profile and stylish looks of it. Instead of returning it, I chose to donate it to the animal shelter to either use or put into their annual yard sale which is a huge event. It will be my donation for this past Christmas (albeit late). I will get a space heater for my room some one of these days.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Newair,"Electric Portable Heater, Oil-Filled Radiator, Radiator","Handle, Heating, Tip-Over Safety Switch, Indoor, Portable, Carrying Handle, Heater, Power Indicator",,AH-400,,,NewAir AH-400,,,,,,,,,0854001004310,,"Plastic, Metal, Plastic, Metal",Electric,Portable,1,Under 150 sq ft,400W,Switch,,,,Radiant,120 V,White,,,,,,,,,,Oil-Filled,"5.00in., 17.75in., 5.00 in",,,,,,,,,,,,,,,,60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
